Id,Time[ns],0:UART: RX/TX
976,10599331400.00,t
977,10599418200.00,o
978,10599504800.00,p
979,10599591400.00,[20]
980,10599678200.00,a
981,10599764800.00,u
982,10599851400.00,t
983,10599938200.00,o
984,10600024800.00,b
985,10600111600.00,o
986,10600198200.00,o
987,10600284800.00,t
988,10600371600.00,:
989,10600458200.00,[20]
990,10600545000.00,[20]
991,10600631600.00,0
992,10600718200.00,[20]
993,10600805000.00,[0D]
994,10600891600.00,[0A]
995,10704940800.00,s
996,10705027600.00,w
997,10705114200.00,i
998,10705200800.00,t
999,10705287600.00,c
1000,10705374200.00,h
1001,10705461000.00,[20]
1002,10705547600.00,t
1003,10705634200.00,o
1004,10705721000.00,[20]
1005,10705807600.00,p
1006,10705894200.00,a
1007,10705981000.00,r
1008,10706067600.00,t
1009,10706154400.00,i
1010,10706241000.00,t
1011,10706327600.00,i
1012,10706414400.00,o
1013,10706501000.00,n
1014,10706587800.00,s
1015,10706674400.00,[20]
1016,10706761000.00,#
1017,10706847800.00,0
1018,10706934400.00,,
1019,10707021000.00,[20]
1020,10707107800.00,O
1021,10707194400.00,K
1022,10707281200.00,[0D]
1023,10707367800.00,[0A]
1024,10707454400.00,m
1025,10707541200.00,m
1026,10707627800.00,c
1027,10707714400.00,1
1028,10707801200.00,(
1029,10707887800.00,p
1030,10707974600.00,a
1031,10708061200.00,r
1032,10708147800.00,t
1033,10708234600.00,[20]
1034,10708321200.00,0
1035,10708408000.00,)
1036,10708494600.00,[20]
1037,10708581200.00,i
1038,10708668000.00,s
1039,10708754600.00,[20]
1040,10708841200.00,c
1041,10708928000.00,u
1042,10709014600.00,r
1043,10709101400.00,r
1044,10709188000.00,e
1045,10709274600.00,n
1046,10709361400.00,t
1047,10709448000.00,[20]
1048,10709534800.00,d
1049,10709621400.00,e
1050,10709708000.00,v
1051,10709794800.00,i
1052,10709881400.00,c
1053,10709968000.00,e
1054,10710054800.00,[0D]
1055,10710141400.00,[0A]
1056,11252515600.00,S
1057,11252602400.00,c
1058,11252689000.00,a
1059,11252775600.00,n
1060,11252862400.00,n
1061,11252949000.00,i
1062,11253035600.00,n
1063,11253122400.00,g
1064,11253209000.00,[20]
1065,11253295800.00,m
1066,11253382400.00,m
1067,11253469000.00,c
1068,11253555800.00,[20]
1069,11253642400.00,1
1070,11253729000.00,:
1071,11253815800.00,1
1072,11253902400.00,.
1073,11253989200.00,.
1074,11254075800.00,.
1075,11254162400.00,[0D]
1076,11254249200.00,[0A]
1077,11305095200.00,F
1078,11305182000.00,o
1079,11305268600.00,u
1080,11305355200.00,n
1081,11305442000.00,d
1082,11305528600.00,[20]
1083,11305615400.00,U
1084,11305702000.00,-
1085,11305788600.00,B
1086,11305875400.00,o
1087,11305962000.00,o
1088,11306048600.00,t
1089,11306135400.00,[20]
1090,11306222000.00,s
1091,11306308800.00,c
1092,11306395400.00,r
1093,11306482000.00,i
1094,11306568800.00,p
1095,11306655400.00,t
1096,11306742200.00,[20]
1097,11306828800.00,/
1098,11306915400.00,b
1099,11307002200.00,o
1100,11307088800.00,o
1101,11307175400.00,t
1102,11307262200.00,.
1103,11307348800.00,s
1104,11307435600.00,c
1105,11307522200.00,r
1106,11307608800.00,[0D]
1107,11307695600.00,[0A]
1108,11328791600.00,r
1109,11328878200.00,e
1110,11328964800.00,a
1111,11329051600.00,d
1112,11329138200.00,i
1113,11329225000.00,n
1114,11329311600.00,g
1115,11329398200.00,[20]
1116,11329485000.00,/
1117,11329571600.00,b
1118,11329658200.00,o
1119,11329745000.00,o
1120,11329831600.00,t
1121,11329918400.00,.
1122,11330005000.00,s
1123,11330091600.00,c
1124,11330178400.00,r
1125,11330265000.00,[0D]
1126,11330351800.00,[0A]
1127,11338695400.00,5
1128,11338782000.00,8
1129,11338868800.00,6
1130,11338955400.00,[20]
1131,11339042200.00,b
1132,11339128800.00,y
1133,11339215400.00,t
1134,11339302200.00,e
1135,11339388800.00,s
1136,11339475600.00,[20]
1137,11339562200.00,r
1138,11339648800.00,e
1139,11339735600.00,a
1140,11339822200.00,d
1141,11339908800.00,[20]
1142,11339995600.00,i
1143,11340082200.00,n
1144,11340169000.00,[20]
1145,11340255600.00,1
1146,11340342200.00,8
1147,11340429000.00,[20]
1148,11340515600.00,m
1149,11340602200.00,s
1150,11340689000.00,[20]
1151,11340775600.00,(
1152,11340862400.00,3
1153,11340949000.00,1
1154,11341035600.00,.
1155,11341122400.00,3
1156,11341209000.00,[20]
1157,11341295800.00,K
1158,11341382400.00,i
1159,11341469000.00,B
1160,11341555800.00,/
1161,11341642400.00,s
1162,11341729000.00,)
1163,11341815800.00,[0D]
1164,11341902400.00,[0A]
1165,11341989200.00,#
1166,11342075800.00,#
1167,11342162400.00,[20]
1168,11342249200.00,E
1169,11342335800.00,x
1170,11342422600.00,e
1171,11342509200.00,c
1172,11342595800.00,u
1173,11342682600.00,t
1174,11342769200.00,i
1175,11342855800.00,n
1176,11342942600.00,g
1177,11343029200.00,[20]
1178,11343116000.00,s
1179,11343202600.00,c
1180,11343289200.00,r
1181,11343376000.00,i
1182,11343462600.00,p
1183,11343549200.00,t
1184,11343636000.00,[20]
1185,11343722600.00,a
1186,11343809400.00,t
1187,11343896000.00,[20]
1188,11343982600.00,4
1189,11344069400.00,3
1190,11344156000.00,1
1191,11344242800.00,0
1192,11344329400.00,0
