; CSV, generated by libsigrok4DSL 0.2.0 on Sun May 11 19:32:02 2025
; Channels (16/16)
; Sample rate: 5 MHz
; Sample count: 407.390720 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
7.513959,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5139676,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5139764,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5139936,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5140198,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5140284,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5140458,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5140544,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.514063,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5140718,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5140804,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5140978,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5141064,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.514115,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5141324,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.514141,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5141498,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5141758,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5141844,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.514193,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.514219,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5142278,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5142364,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5142538,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5142624,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.514271,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.514297,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5143144,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.514323,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.514375,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5143838,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.514401,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5144098,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5144184,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.514427,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5144358,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.514453,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5144878,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5144964,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5145138,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5145224,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
